sample_id,snr_db,fiber_length_km,class,class_name,location_km,location_norm,reflectance_db,loss_db,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30
sample_000010,11.688442228957552,35.522115427943646,1,fiber_tapping,11.227089958434588,0.31605915985517974,,0.39239942009006973,1.0,0.85309523,0.8583668,0.81066126,0.7208292,0.83802915,0.78875864,0.74326587,0.7064375,0.5994267,0.6377927,0.5608171,0.5567661,0.5195708,0.39080626,0.41326,0.4282933,0.38238975,0.38386783,0.31730667,0.3498083,0.24277143,0.28461328,0.23277381,0.19839983,0.15349352,0.095559046,0.07038042,0.0340475,0.0
sample_000011,8.29667665583732,18.069691495429293,0,normal,,,,,0.68103945,1.0,0.92462337,0.6214996,0.7906964,0.70309126,0.65497786,0.60050154,0.70385087,0.41961867,0.5795075,0.5142778,0.52693903,0.6393361,0.49489027,0.56676215,0.20891845,0.3677724,0.4381687,0.5382225,0.50875276,0.2344131,0.21482775,0.58967596,0.03218197,0.23774777,0.1362341,0.22536772,0.029023642,0.0
sample_000012,9.84605310456888,5.305934010191634,6,pc_connector,3.900348536648209,0.7350917914087176,-11.389305888022207,1.219277075823842,1.0,0.89623773,0.60423267,0.5759521,0.86481667,0.69275427,0.8698634,0.47105837,0.81439036,0.54076767,0.6927328,0.5059598,0.555066,0.71332914,0.7490589,0.24466689,0.58603454,0.68897927,0.26097035,0.6144198,0.5928606,0.7251868,0.3435615,0.25477713,0.19374943,0.1331816,0.51993096,0.17138515,0.0,0.008804488
sample_000013,13.334848735019595,27.37899145111406,1,fiber_tapping,11.558394565995746,0.4221629049643255,,0.3383391680815784,1.0,0.9321736,0.865486,0.92428505,0.88053215,0.88970363,0.7546042,0.73349243,0.7950608,0.6106059,0.5894166,0.636001,0.6930188,0.4989724,0.6443139,0.4636254,0.40249395,0.41570827,0.3526569,0.34005406,0.29494894,0.36773288,0.25798014,0.30225378,0.2903877,0.060156293,0.1494032,0.07926376,0.117448,0.0
sample_000014,8.266797836205246,24.110790217076037,7,reflector,5.692229134967754,0.23608637807882107,-42.15625919406064,0.9442489015445924,1.0,0.9879708,0.9076702,0.85758895,0.8647538,0.88772047,0.8905418,0.7434954,0.5727867,0.5719356,0.56280214,0.59480995,0.4564778,0.6077997,0.5806239,0.47996804,0.36376488,0.5765852,0.34153846,0.3889348,0.1871227,0.22644056,0.29701355,0.19561033,0.0,0.11231303,0.14703384,0.2215532,0.0065933634,0.07708814
sample_000015,8.863378426864228,7.641366922447581,4,dirty_connector,0.6880593111800798,0.09004400890092185,,3.3989384951170227,1.0,0.8514257,0.9617433,0.51996523,0.6660614,0.39394036,0.5109733,0.5271032,0.4158058,0.49832058,0.32260218,0.31267914,0.35124302,0.3655544,0.27320385,0.32808462,0.39892837,0.06899888,0.2512014,0.3451089,0.14489073,0.23860122,0.24121042,0.2771656,0.0,0.10476735,0.3217473,0.113836795,0.088541105,0.03829962
sample_000016,16.021924837462652,24.318187816084475,3,bending,18.109108902463916,0.7446734534423751,,2.878950858658284,1.0,0.9198855,0.842482,0.83709896,0.82515645,0.786633,0.7766158,0.7423192,0.78547484,0.6944856,0.72848403,0.66782063,0.6692799,0.5968957,0.55336916,0.5310336,0.49455428,0.52402306,0.38091087,0.44501984,0.39659545,0.38420743,0.19941226,0.080764376,0.07691694,0.07766835,0.0,0.030080548,0.005220879,0.0035316963
sample_000017,4.285672677927279,9.110983090674383,3,bending,3.6631713683579066,0.4020610434572504,,2.19013824783433,0.77388674,0.35854694,0.56616056,0.47548762,0.98158884,1.0,0.585235,0.55825263,0.7582037,0.73734075,0.8185245,0.73114455,0.8533085,0.3773075,0.44405589,0.5415368,0.3207421,0.14860952,0.31396595,0.3165109,0.12210262,0.21408984,0.19132207,0.3987443,0.24684304,0.15266193,0.029762784,0.0,0.50194323,0.07464692
sample_000018,18.750385614958166,27.32144598156735,7,reflector,3.759792011447346,0.13761321468797524,-43.87306715013095,0.7938005782142598,0.49956122,0.49796814,0.47182092,0.44902113,1.0,0.38138977,0.39282352,0.34867802,0.36925948,0.31376684,0.31296745,0.27241609,0.25630134,0.25152457,0.23865153,0.20138018,0.20068099,0.18773508,0.18896945,0.14087883,0.16726358,0.12477512,0.12115888,0.08900838,0.06106791,0.08037367,0.03304121,0.03349394,0.023043994,0.0
sample_000019,17.212503868685342,22.90328351256736,5,fiber_cut,14.792530060285639,0.6458694034926812,-53.24702272845637,38.94887614607891,1.0,0.98645455,0.9891501,0.98513556,0.9766438,0.9650299,0.9538002,0.93864125,0.9473006,0.9539665,0.93191636,0.916541,0.90746456,0.9154658,0.89189947,0.9061091,0.8868833,0.8773115,0.88194364,0.037944436,0.01752114,0.019853218,0.0,0.010010675,0.037625678,0.03507012,0.008907695,0.034079008,0.029513877,0.028450742
sample_000020,1.1971678318310524,36.23664853397606,1,fiber_tapping,7.744130688260163,0.21370990424236233,,0.08273993133155919,0.88885605,0.9745328,1.0,0.5603971,0.6910566,0.6262736,0.6321957,0.6414274,0.47441772,0.6457647,0.5126736,0.2656322,0.2505974,0.37197414,0.31448394,0.46340543,0.4223247,0.41901526,0.3022527,0.07671854,0.20536341,0.30329847,0.26908857,0.19174904,0.12235362,0.10581962,0.09263363,0.09461861,0.35309327,0.0
sample_000021,15.570017151644702,31.535801509286657,3,bending,21.494431360682515,0.6815882372405483,,4.143541046934533,1.0,0.9382695,0.88484627,0.8910544,0.8534527,0.8374691,0.8315732,0.8170065,0.7832919,0.7091333,0.7013488,0.67540026,0.620198,0.6456977,0.6321989,0.5741215,0.52631956,0.5147622,0.5563563,0.4803498,0.2610343,0.22587842,0.17771791,0.1620028,0.121320195,0.105369955,0.08273653,0.069793366,0.018319864,0.0
sample_000022,3.0486321541805594,10.207203123737768,6,pc_connector,8.623359118491058,0.8448307547085705,-12.128481292617787,1.404590802320777,0.68790615,0.8427236,0.87534654,0.41029564,0.8223091,0.82869095,0.9439507,0.9707252,0.8271033,0.5560675,0.77462804,1.0,0.92567205,0.7054291,0.8669696,0.7503448,0.47098976,0.4716221,0.7336442,0.44799247,0.39901966,0.82722366,0.6812938,0.00092410535,0.47263545,0.27165636,0.560188,0.71626014,0.0,0.47757384
sample_000023,10.780497107407424,9.490836312927716,2,bad_splice,3.161169046297799,0.33307592103257416,,0.9504925334828318,0.8935384,0.5351606,1.0,0.729213,0.64061755,0.68396974,0.5156396,0.6004735,0.69667244,0.44879746,0.32893866,0.3737913,0.28659317,0.39385742,0.2807249,0.2563011,0.35848567,0.5134656,0.23730634,0.4002574,0.36870405,0.35270926,0.2654974,0.26359233,0.0,0.3862028,0.01975189,0.14883862,0.13566908,0.15102379
sample_000024,0.25223671711036477,19.817146372734573,4,dirty_connector,12.029909421484419,0.6070454946043984,,2.248738727860797,0.8524913,0.8057133,0.83186114,1.0,0.40070766,0.50080687,0.86906445,0.45755294,0.623824,0.6135929,0.6705334,0.46211833,0.52134544,0.5852215,0.66460246,0.43193218,0.54081327,0.2578403,0.1312129,0.17726776,0.4720523,0.40702516,0.43806192,0.49800345,0.435456,0.032272693,0.017079428,0.49430475,0.16329305,0.0
sample_000025,10.016642214989856,18.342532725035138,1,fiber_tapping,12.03618696743838,0.6561900228211436,,0.1841625222219277,0.8712881,1.0,0.9366376,0.8473659,0.80853534,0.9563645,0.6942089,0.64842415,0.7687454,0.50881475,0.58063644,0.68649673,0.6565132,0.5694389,0.571132,0.45404083,0.517695,0.43225238,0.4918055,0.47864893,0.2342398,0.24880847,0.0,0.14096148,0.16782065,0.357107,0.11515491,0.07077011,0.0912567,0.04083634
sample_000026,13.426278532179214,19.56548327842669,1,fiber_tapping,16.74098961627383,0.8556389524368556,,0.3130884277191817,0.92994845,0.97678995,1.0,0.93656284,0.92776996,0.8926988,0.89208233,0.9332304,0.74301344,0.66798574,0.62050325,0.8235235,0.5772806,0.5431062,0.51510125,0.5152667,0.6297394,0.46326694,0.6264451,0.5778573,0.3095966,0.15793377,0.30064273,0.25223792,0.19287229,0.08945057,0.15834637,0.1366909,0.059292298,0.0
sample_000027,9.000456894961921,21.95927514840819,5,fiber_cut,16.57002252938446,0.7545796670153572,-67.40868094182109,36.97697723396263,1.0,0.9822082,0.9781515,0.9929267,0.94226336,0.9780089,0.97485894,0.95206255,0.93067205,0.94325656,0.9120013,0.923303,0.90214205,0.9005928,0.91789484,0.841331,0.8981101,0.8677888,0.8798078,0.862589,0.8265026,0.8083441,0.022506272,0.0055816304,0.01997915,0.060218144,0.058645092,0.036231514,0.019856732,0.0
sample_000028,8.212806457445625,17.424277680917044,7,reflector,4.04008286368984,0.23186515605834912,-54.789576480451814,0.23759177980921803,1.0,0.9463627,0.59919894,0.73590076,0.85768974,0.8424136,0.74647194,0.6905493,0.3937796,0.8460635,0.77118605,0.5047149,0.8378885,0.6978875,0.5932943,0.67777175,0.43680537,0.32403705,0.58790904,0.36215642,0.4969822,0.31021217,0.27055594,0.49332696,0.34101808,0.1404707,0.07925341,0.13464797,0.0,0.24902336
sample_000029,5.7422857559491955,12.122583882299935,6,pc_connector,9.997405326591268,0.824692608742298,-11.638276518090892,0.6622479448246388,0.84495527,0.8858151,0.62012404,0.6059435,1.0,0.79832274,0.83701664,0.77470505,0.6957054,0.51624095,0.87919647,0.77484506,0.6803246,0.65455824,0.26539013,0.41708446,0.44936123,0.6130645,0.316664,0.20799698,0.50220823,0.2378563,0.36172664,0.3571615,0.43927318,0.52333623,0.39372984,0.33341876,0.0,0.023912495
sample_000030,16.743262724066046,23.29272459048364,1,fiber_tapping,15.645506646882687,0.6716907069460967,,0.24616988015563035,0.9942275,1.0,0.9457669,0.8828765,0.8604873,0.7868088,0.72072095,0.74582815,0.6891571,0.64204454,0.6890811,0.6472853,0.52184874,0.59300023,0.5955776,0.42239657,0.5613618,0.506467,0.31815445,0.37255,0.3460692,0.26565757,0.154382,0.14998981,0.18161508,0.07277348,0.118635096,0.0,0.09443635,0.010415606
sample_000031,11.584398213037026,13.266504651445427,7,reflector,6.2917433945237775,0.47425780639501547,-41.796703045677646,0.6125145060078665,1.0,0.9077504,0.8224433,0.7647437,0.8142746,0.80907047,0.63986206,0.67590225,0.6956025,0.6947013,0.6274468,0.54469764,0.5155322,0.6027034,0.41565096,0.37268952,0.39148688,0.5686831,0.50403774,0.4395739,0.4273365,0.32788593,0.3600674,0.26609418,0.27371237,0.036652274,0.29471698,0.10009923,0.11519323,0.0
sample_000032,19.930008704969403,27.630625182961968,7,reflector,18.884998891462526,0.6834806945703021,-48.241864440491725,0.3198014913557694,0.9826492,0.9466219,1.0,0.9284622,0.8936783,0.8544549,0.83058476,0.77633053,0.7319328,0.6909662,0.66752297,0.6322062,0.57349795,0.57579255,0.5739716,0.5267351,0.45762482,0.44398162,0.4021978,0.40512168,0.34998873,0.28123885,0.2909492,0.22708815,0.2229554,0.13929102,0.11207272,0.10578792,0.05236522,0.0
sample_000033,2.515828261167326,5.978047522512747,3,bending,3.3767804300051436,0.5648634302903274,,0.6189689182027767,0.4698607,0.66605663,0.6527837,1.0,0.42210108,0.6914125,0.6842051,0.7550814,0.49859905,0.58757544,0.5778863,0.375929,0.28322095,0.30567074,0.47698116,0.7757306,0.89613533,0.83204097,0.9487853,0.43653506,0.46150076,0.3087148,0.5896694,0.40184793,0.14822443,0.33681637,0.0,0.49379054,0.37383643,0.18961172
sample_000034,7.731648578876131,31.46555392842308,2,bad_splice,24.855272422498192,0.789920065575144,,1.5648959579524524,0.83632576,1.0,0.7963043,0.7586898,0.81167364,0.96748614,0.7353651,0.70454293,0.7057135,0.82731986,0.6041972,0.67698026,0.71664494,0.61280656,0.55474514,0.47132573,0.62788695,0.3377358,0.26136908,0.27564356,0.42699915,0.22335857,0.36825946,0.21681657,0.19633165,0.14987873,0.17558104,0.051733453,0.0,0.042368084
sample_000035,0.9036194339348587,37.45081809483834,0,normal,,,,,0.8157576,1.0,0.74061245,0.9862129,0.71650195,0.86965775,0.6809499,0.61647105,0.9666117,0.6828615,0.47561696,0.63013405,0.56771547,0.8407718,0.586145,0.52809155,0.6448138,0.52325535,0.6042425,0.56726253,0.14824204,0.4287853,0.37672603,0.33038783,0.0,0.12205581,0.102290556,0.2707114,0.11573915,0.102654345
sample_000036,9.98453403988638,31.876927966685223,0,normal,,,,,1.0,0.9024056,0.9180893,0.80913734,0.82639176,0.967406,0.75120294,0.85155225,0.67414993,0.8118597,0.61095876,0.712914,0.57797253,0.5489768,0.63763493,0.5214212,0.5119532,0.38989696,0.3199827,0.46938235,0.25016865,0.2833951,0.32728142,0.35118416,0.17882939,0.23063654,0.2090908,0.11072721,0.0,0.22461744
sample_000037,-3.3463883980708915,20.23725895896827,4,dirty_connector,15.510225308750535,0.7664192734894604,,1.227792496243568,0.7410896,0.73041517,0.90364,1.0,0.5621789,0.8614434,0.6257546,0.505712,0.54791903,0.7443144,0.71145755,0.68342906,0.5496159,0.53298557,0.1825156,0.17941049,0.6692966,0.45742896,0.22432928,0.23869358,0.67351717,0.38897356,0.23226543,0.40221825,0.4312225,0.0,0.3340692,0.24454618,0.25162533,0.37195528
sample_000038,3.886694926004937,23.270012211554793,1,fiber_tapping,17.658292970461265,0.7588433048476437,,0.15969795189329705,1.0,0.6176296,0.7169098,0.65659934,0.708017,0.6270746,0.69175047,0.93193775,0.93379724,0.6157403,0.52847594,0.70139766,0.29238623,0.45777386,0.53192484,0.47442096,0.26431167,0.32477328,0.3299116,0.41273248,0.50016356,0.4248749,0.44401076,0.23515579,0.28044286,0.32778123,0.20107904,0.0,0.21105798,0.29981664
sample_000039,-3.352479696156006,20.08110201209277,6,pc_connector,7.274832408153329,0.36227256869530616,-12.966681885925455,1.1936821342052804,1.0,0.762783,0.7707208,0.92798316,0.36775836,0.6268462,0.447501,0.6630905,0.82367086,0.8717514,0.45552412,0.332797,0.53153414,0.94043255,0.7219387,0.4454629,0.29939106,0.35382926,0.5159759,0.54071814,0.4754276,0.48470157,0.29363316,0.0,0.5838303,0.37167838,0.31781757,0.3689745,0.30729967,0.534728
sample_000040,17.446440604856495,17.83289470082176,7,reflector,14.376823228906888,0.8061968328812252,-54.582178890788896,0.8593032998417871,0.9666792,0.9489216,1.0,0.89204574,0.8596265,0.87857544,0.83776116,0.7604678,0.75684094,0.67872447,0.71368986,0.707406,0.6581421,0.71189606,0.5044553,0.5406884,0.4572857,0.4862548,0.46644965,0.43324783,0.36363858,0.3340596,0.32584876,0.26791337,0.124272406,0.07685457,0.1763782,0.10050391,0.0,0.014780912
sample_000041,9.560207945870843,20.551946140894632,7,reflector,8.30876954252532,0.40428139921953093,-50.01482510711288,0.427629464554659,0.76819175,0.7726073,0.9847336,0.83945745,1.0,0.82927585,0.70393354,0.66610175,0.7372399,0.67875487,0.57320154,0.5013078,0.56743455,0.40210423,0.475875,0.30461767,0.29325783,0.3415542,0.28364038,0.27196088,0.3042566,0.2939557,0.13453376,0.0611233,0.079372905,0.21564463,0.014061554,0.08994885,0.0,0.041106787
sample_000042,0.7578182476689941,11.98440868728171,1,fiber_tapping,3.1272774661270377,0.26094549574613707,,0.1442618880137048,0.46978796,0.8735539,1.0,0.87137264,0.61661154,0.72652256,0.7626694,0.7254685,0.6778878,0.5330645,0.5728736,0.5119894,0.26088703,0.42258418,0.5139858,0.23274541,0.44622272,0.27853984,0.17095686,0.2397326,0.0,0.15869722,0.58959043,0.1437818,0.7249593,0.49025187,0.53510296,0.3332911,0.6074684,0.43908522
sample_000043,-2.939529278354806,22.67801583014556,7,reflector,8.489724827217417,0.3743592424841748,-46.41135564469105,0.18646481538008974,0.32150137,0.4267805,0.65056366,1.0,0.65447783,0.5784976,0.48343536,0.69202083,0.76405746,0.55454063,0.54826164,0.46949628,0.61500597,0.7198224,0.3828618,0.5401966,0.6957474,0.1907058,0.33137125,0.28515774,0.20923693,0.3946832,0.19261412,0.6062695,0.17466724,0.3977648,0.53843415,0.0,0.30181894,0.23065954
sample_000044,16.15398693274127,14.095872582300872,3,bending,12.603424193758931,0.894121603339697,,5.636367152522184,0.98673654,1.0,0.9522039,0.9666351,0.9283391,0.9627218,0.90751135,0.8781765,0.9172639,0.8548359,0.843369,0.79690063,0.7973123,0.7135941,0.7452394,0.8003085,0.7952183,0.754698,0.6669386,0.72979766,0.67013025,0.60596615,0.6250745,0.5725843,0.57189757,0.55929524,0.035392147,0.0,0.07554744,0.0043573654
sample_000045,17.185841124434834,38.45363890010101,3,bending,25.6194052291668,0.6662413743397247,,5.030654781517568,1.0,0.98632205,0.9716191,0.94778395,0.9303124,0.91581464,0.8615965,0.83319855,0.8110745,0.733507,0.74552876,0.69784445,0.69654125,0.6429657,0.6071044,0.619252,0.5713816,0.53800535,0.514343,0.47110164,0.236562,0.18837829,0.15240636,0.1701843,0.1319988,0.106193915,0.07346486,0.039196342,0.0,0.02451925
sample_000046,0.8200415210189425,5.602753202157152,4,dirty_connector,2.228776652719939,0.3978002550356534,,2.4394285339615567,0.8229759,0.6629763,0.38835537,0.4257673,0.70856005,0.7217409,0.9100899,0.45209166,0.79017395,0.48319045,0.8689334,0.69307226,0.0,1.0,0.5365453,0.45695984,0.77772915,0.5682044,0.639332,0.6604885,0.24927956,0.48405117,0.35443947,0.13480419,0.49243525,0.26817483,0.41102454,0.57387114,0.71906126,0.331377
sample_000047,2.1933149558951106,19.204056769087327,4,dirty_connector,3.4078886492685516,0.1774567056453516,,3.867116628219132,1.0,0.8442523,0.71796423,0.89270854,0.91597337,0.9071389,0.41025126,0.58874625,0.48777038,0.56942886,0.55523646,0.4465745,0.6497138,0.3217782,0.74158406,0.87256455,0.46116963,0.33612227,0.15982014,0.51468366,0.3184978,0.47964984,0.39071438,0.40132424,0.339799,0.0,0.12528805,0.28866974,0.2728409,0.41119277
sample_000048,17.108097422573003,38.13235452022596,5,fiber_cut,20.351621679386255,0.5337100720751837,-15.677981108074373,36.41369149394847,0.9947234,1.0,0.96736306,0.96474075,0.952591,0.94896716,0.92810124,0.9139896,0.88954115,0.9023744,0.8827457,0.8670002,0.85270065,0.8436041,0.82929397,0.8180516,0.03801218,0.01822972,0.026106656,0.02268019,0.028156651,0.007022841,0.028159378,0.020423591,0.0,0.026364578,0.008884414,0.006945406,0.018756555,0.027834103
sample_000049,16.95473284599456,18.4649022259724,7,reflector,9.958101875055833,0.5392989225282193,-48.252385079660975,0.19358381593657836,0.9345738,0.9163452,0.9681901,0.9538782,0.9505206,1.0,0.72185194,0.83740693,0.81743336,0.6236504,0.5926687,0.693924,0.61496073,0.48895,0.49572667,0.5249961,0.38325202,0.36745226,0.40275595,0.32490474,0.22385252,0.30186436,0.25491795,0.2122586,0.20997961,0.20612574,0.109608866,0.06905352,0.008454043,0.0
sample_000050,-4.272810259102573,17.112534568875503,3,bending,13.222602747018072,0.772685232207946,,2.880252124020046,1.0,0.70803136,0.7282413,0.377829,0.8985811,0.60114354,0.746952,0.6567818,0.7619955,0.76122874,0.688944,0.6576482,0.16848825,0.3558895,0.7642637,0.388249,0.48558474,0.6463698,0.82632405,0.5532987,0.4467677,0.40314156,0.47025314,0.49716967,0.21205863,0.25145167,0.0,0.3835856,0.37520933,0.640824
sample_000051,3.549838177755836,15.457922927644757,6,pc_connector,8.029572245581514,0.5194470358770858,-13.208750191945363,0.4042566468955795,0.7446616,0.6329444,0.9117062,0.7679863,0.7153466,0.7924777,0.8050686,0.7846502,0.871365,0.6928761,1.0,0.7296812,0.41408566,0.4738517,0.66647285,0.33889756,0.5468744,0.46042114,0.61243534,0.54010326,0.37184387,0.4087571,0.5293947,0.20787914,0.5238167,0.38837302,0.32447973,0.0,0.31431428,0.31018078
sample_000052,14.941040022206906,25.639146477037496,5,fiber_cut,23.60450519551373,0.9206431741654896,-67.59309884760977,33.54789464964657,1.0,0.9952003,0.99020183,0.9689895,0.95176077,0.9632827,0.94233686,0.92488754,0.92745507,0.94192016,0.91500086,0.9045412,0.8814107,0.89028615,0.86881036,0.87962586,0.86182326,0.84678894,0.83084494,0.83078367,0.8219452,0.8063694,0.81411284,0.77780765,0.7807062,0.7685393,0.7609904,0.0,0.014891874,0.018556057
sample_000053,10.103303565337479,19.653685508853115,2,bad_splice,16.339007031010137,0.8313457047865215,,1.2406002082828993,0.9736148,0.9035456,1.0,0.92666334,0.9838591,0.9652543,0.84597784,0.86687595,0.79681236,0.82663655,0.73549825,0.68886524,0.98257893,0.73480844,0.64260006,0.56778675,0.5428604,0.54597014,0.5232514,0.5746495,0.534648,0.51372963,0.51986843,0.3269239,0.21838565,0.12582888,0.22749959,0.20129828,0.120057784,0.0
sample_000054,5.936108907675537,19.09039534160133,5,fiber_cut,15.438483759045631,0.8087042453962417,-16.004753029094303,38.46506975239155,0.9306901,0.91996026,0.9407278,1.0,0.96059465,0.9533093,0.9635248,0.98857164,0.9266612,0.9088042,0.93916243,0.93860406,0.9337129,0.88658607,0.86421835,0.9001249,0.93409336,0.92483693,0.8586812,0.89281976,0.8754702,0.8694349,0.8484315,0.8385599,0.049905896,0.036634278,0.0,0.043560307,0.016657598,0.03428744
sample_000055,-0.9884868416211621,12.489499473268712,2,bad_splice,3.666067891752813,0.293532010598127,,1.8023359297182668,0.7460227,0.9793854,0.777635,0.8752765,0.74354905,0.8883569,1.0,0.64757025,0.9120839,0.6425134,0.90616536,0.3986716,0.47775272,0.38070157,0.58883125,0.22443925,0.57269174,0.9645215,0.47478643,0.39823258,0.08112094,0.5188618,0.32910052,0.5114751,0.46892065,0.46871573,0.47000614,0.0,0.34736797,0.117698245
sample_000056,9.236743956790315,37.97685308252199,5,fiber_cut,9.947228298203095,0.2619287142246414,-59.64028790369312,40.21770616326263,1.0,0.9728191,0.93588716,0.93704057,0.93366444,0.94691277,0.92515254,0.9045139,0.056592897,0.057048257,0.0,0.0756376,0.05095884,0.05743501,0.04578243,0.014552516,0.045916628,0.043117892,0.042678785,0.01743742,0.007685511,0.057995573,0.043114543,0.007957829,0.046540737,0.04200477,0.041379925,0.04732943,0.047853727,0.08797245
sample_000057,-4.285989143333417,36.62879144336395,1,fiber_tapping,16.66873293246141,0.4550718785858628,,0.23978783263310555,1.0,0.6877632,0.9606599,0.7133851,0.8872877,0.83701056,0.8829893,0.6781057,0.8073488,0.8049402,0.99036866,0.6537156,0.5302929,0.12637912,0.8382719,0.6033529,0.8879811,0.4684424,0.69954646,0.60612446,0.46168777,0.43734643,0.45956096,0.35695252,0.5910665,0.0,0.51505727,0.26483276,0.4531303,0.17784195
